uid,sx,sy,sz,nx,ny,nz,iso,aniso,fov,dtype,cluster,label
xaji0y6d,2.4600000381469727,2.4600000381469727,2.4600000381469727,142,142,112,2.4600000381469727,1.0,324.7200050354004,uint16,3,0.0
pbhsahxt,2.4600000381469727,2.4600000381469727,2.4600000381469727,142,142,112,2.4600000381469727,1.0,324.7200050354004,uint16,3,0.0
hv3a3zmf,2.4600000381469727,2.4600000381469727,2.4600000381469727,148,148,112,2.4600000381469727,1.0,334.5600051879883,uint16,3,0.0
8mdd4v30,2.4600000381469727,2.4600000381469727,2.4600000381469727,164,164,112,2.4600000381469727,1.0,360.80000559488934,uint16,3,0.0
t9nt3w5u,2.4600000381469727,2.4600000381469727,2.4600000381469727,156,156,112,2.4600000381469727,1.0,347.6800053914388,uint16,3,1.0
zbikcidk,2.4600000381469727,2.4600000381469727,2.4600000381469727,152,152,112,2.4600000381469727,1.0,341.12000528971356,uint16,3,1.0
wnnhj7xv,2.4600000381469727,2.4600000381469727,2.4600000381469727,138,138,112,2.4600000381469727,1.0,318.1600049336751,uint16,3,0.0
g0fn9xuy,2.4600000381469727,2.4600000381469727,2.4600000381469727,152,152,112,2.4600000381469727,1.0,341.12000528971356,uint16,3,0.0
41ibljh7,2.4600000381469727,2.4600000381469727,2.4600000381469727,128,128,112,2.4600000381469727,1.0,301.760004679362,uint16,3,0.0
5lxo6qji,2.4600000381469727,2.4600000381469727,2.4600000381469727,140,140,112,2.4600000381469727,1.0,321.4400049845378,uint16,3,1.0
ujv6oh9s,2.4600000381469727,2.4600000381469727,2.4600000381469727,150,150,112,2.4600000381469727,1.0,337.8400052388509,uint16,3,1.0
dbdw2pcn,2.4600000381469727,2.4600000381469727,2.4600000381469727,144,144,112,2.4600000381469727,1.0,328.000005086263,uint16,3,1.0
9t84azyt,2.4600000381469727,2.4600000381469727,2.4600000381469727,144,144,112,2.4600000381469727,1.0,328.000005086263,uint16,3,0.0
jxepq85j,2.4600000381469727,2.4600000381469727,2.4600000381469727,170,170,112,2.4600000381469727,1.0,370.64000574747723,uint16,3,1.0
sg65kxvf,2.4600000381469727,2.4600000381469727,2.4600000381469727,146,146,112,2.4600000381469727,1.0,331.28000513712567,uint16,3,1.0
1t2tala7,2.4600000381469727,2.4600000381469727,2.4600000381469727,134,134,112,2.4600000381469727,1.0,311.6000048319499,uint16,3,0.0
53lc58dr,2.4600000381469727,2.4600000381469727,2.4600000381469727,150,150,112,2.4600000381469727,1.0,337.8400052388509,uint16,3,1.0
c11ertj5,2.4600000381469727,2.4600000381469727,2.4600000381469727,156,156,112,2.4600000381469727,1.0,347.6800053914388,uint16,3,1.0
9mx2x18h,3.8953697681427,3.8953697681427,3.8953697681427,128,128,128,3.8953697681427,1.0,498.6073303222656,uint16,4,0.0
afeyuhz1,3.8953697681427,3.8953697681427,3.8953697681427,128,128,128,3.8953697681427,1.0,498.6073303222656,uint16,4,1.0
gv0e38da,3.8953697681427,3.8953697681427,3.8953697681427,128,128,49,3.8953697681427,1.0,396.0292597611745,uint16,2,1.0
ly8ozcyw,3.8953697681427,3.8953697681427,3.8953697681427,128,128,128,3.8953697681427,1.0,498.6073303222656,uint16,4,1.0
d14ve92m,3.8953697681427,3.8953697681427,3.8953697681427,128,128,128,3.8953697681427,1.0,498.6073303222656,uint16,4,1.0
pnsm43d8,3.8953697681427,3.8953697681427,3.8953697681427,128,128,128,3.8953697681427,1.0,498.6073303222656,uint16,4,0.0
w3zp08j3,3.8953697681427,3.8953697681427,3.8953697681427,128,128,128,3.8953697681427,1.0,498.6073303222656,uint16,4,1.0
trp0j43d,3.8953697681427,3.8953697681427,3.8953697681427,128,128,128,3.8953697681427,1.0,498.6073303222656,uint16,4,1.0
5iqvnb4g,3.8953697681427,3.8953697681427,3.8953697681427,128,128,128,3.8953697681427,1.0,498.6073303222656,uint16,4,1.0
h2m5zja8,3.8953697681427,3.8953697681427,3.8953697681427,128,128,128,3.8953697681427,1.0,498.6073303222656,uint16,4,1.0
